delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
5.4184629005860074e-11 1.292126345156519e-12 2.6547279999289408e-11 9.732290928016196e-13 1.3705789569939952e-05 50 15
5.527380289582773e-11 1.3304867190616632e-12 3.174488796831021e-11 6.830312140534978e-13 1.3712869986193255e-05 50 20
5.6231509032445004e-11 1.2514367797242243e-12 3.707875326219856e-11 1.2756250049317241e-12 1.3717150068259798e-05 50 25
5.713999065570796e-11 1.069838011583113e-12 4.186758578716976e-11 1.4525911940302394e-12 1.3720010429096874e-05 50 30
5.77991023098523e-11 7.968872415241302e-13 4.7299667654820965e-11 1.5154871715189477e-12 1.3721680261369329e-05 50 35
5.845123690617626e-11 8.697075720189018e-13 5.2800874783542895e-11 2.125952408907339e-12 1.3722789844905492e-05 50 40
5.881681253150361e-11 9.908148520393345e-13 5.821015891527281e-11 1.8283586450396072e-12 1.3723540178034455e-05 50 45
5.845455369746233e-11 9.670362384125997e-13 2.614631601505213e-11 5.937666265783126e-13 1.257683015865041e-05 55 15
5.948617293194403e-11 8.040697014460862e-13 3.1047445864240686e-11 1.4307045131944918e-12 1.2584019714267924e-05 55 20
6.025904775164292e-11 7.715120859883018e-13 3.652516830654484e-11 9.65827244570061e-13 1.2588559911819175e-05 55 25
6.104101252235594e-11 8.551630540851174e-13 4.2297509245114995e-11 1.5357560058729125e-12 1.2591120139404666e-05 55 30
6.164100480043899e-11 7.773722529406946e-13 4.7417767629065466e-11 1.7795598978784244e-12 1.2592890016094316e-05 55 35
6.236872129861126e-11 8.339712384217157e-13 5.332918134870468e-11 1.8960781295734863e-12 1.2594069630722515e-05 55 40
6.306793282062628e-11 8.105583803978689e-13 5.902113520139807e-11 2.3185630932537338e-12 1.2594829968293197e-05 55 45
6.1497883174777e-11 9.971643736422786e-13 2.647174493497495e-11 7.672988221359145e-13 1.159939984063385e-05 60 15
6.257026147205025e-11 1.0688767579369873e-12 3.217794086740611e-11 6.516298460025605e-13 1.1605879990383983e-05 60 20
6.352854353686155e-11 1.1530355663313951e-12 3.7385174816995104e-11 1.2975300087841868e-12 1.16094797704136e-05 60 25
6.454497353258759e-11 1.3015931648457935e-12 4.244312540313544e-11 1.3171605733192093e-12 1.161203999799909e-05 60 30
6.552570985807193e-11 1.534704112925167e-12 4.780355972178185e-11 1.4626356766370141e-12 1.161360978585435e-05 60 35
6.639043481637685e-11 1.3969028841639974e-12 5.299248539980539e-11 1.9389969230926285e-12 1.161462023446802e-05 60 40
6.736186608513606e-11 1.4337795273960952e-12 5.863944746442584e-11 2.0249683006789976e-12 1.1615329640335403e-05 60 45
6.611249048216195e-11 1.4267695098296729e-12 2.6767190894338988e-11 5.877827521580392e-13 1.0771160305012017e-05 65 15
6.737308627657868e-11 1.2738350955651678e-12 3.133658610376955e-11 1.2444656850157942e-12 1.0777470379252918e-05 65 20
6.828013154880352e-11 9.989872427548785e-13 3.666971934435104e-11 9.485198000300232e-13 1.0780860066006426e-05 65 25
6.905973015669531e-11 8.353623240191232e-13 4.2286979473615816e-11 1.5046013480263243e-12 1.0783250218082685e-05 65 30
6.988998962897952e-11 8.828400250432411e-13 4.793548544212989e-11 1.7461812161154167e-12 1.0784799997054506e-05 65 35
7.04978575516435e-11 9.960566442826502e-13 5.3697872537394886e-11 1.949500240058799e-12 1.0785770427901298e-05 65 40
7.103857085910548e-11 9.498737517030231e-13 5.911604539221571e-11 2.311170786001293e-12 1.0786459824885242e-05 65 45
6.964013393728763e-11 9.483697464493512e-13 2.6990180923558427e-11 8.191364253562483e-13 1.0054770427814219e-05 70 15
7.064485801899778e-11 1.1319954305519242e-12 3.2630672469613486e-11 8.57790618050136e-13 1.0060300155600999e-05 70 20
7.126750578567709e-11 1.0127812217347598e-12 3.762071210111628e-11 1.3956126835787397e-12 1.0064140042231884e-05 70 25
7.241513638733821e-11 1.408072768625812e-12 4.278907783650254e-11 1.2042537106404794e-12 1.006640013656579e-05 70 30
7.33584928913622e-11 1.4260705246890715e-12 4.818226720382235e-11 1.569346540740424e-12 1.0067829862236977e-05 70 35
7.415873470861811e-11 1.4852665538439558e-12 5.358409549405252e-11 1.965052903382669e-12 1.0068870324175805e-05 70 40
7.502192617137027e-11 1.5572588791396003e-12 5.911427597427021e-11 1.969191519915481e-12 1.0069559721159749e-05 70 45
7.335342749881235e-11 1.5401927780031577e-12 2.7671571631304737e-11 7.001967907392659e-13 9.423827577847987e-06 75 15
7.503825338872616e-11 1.6470278916755343e-12 3.173861520822108e-11 1.1328095579632436e-12 9.428980774828233e-06 75 20
7.605659851916968e-11 1.3521039756575481e-12 3.708194515339436e-11 1.0085683373531329e-12 9.432495971850585e-06 75 25
7.691455805591829e-11 1.106105441614491e-12 4.242399487264237e-11 1.5930745221257037e-12 9.43471968639642e-06 75 30
7.773254262488649e-11 1.1439755392972373e-12 4.7734181191083636e-11 1.8519211771733657e-12 9.436060281586833e-06 75 35
7.83889411715144e-11 1.0478278401199193e-12 5.389887147710937e-11 1.999161903729063e-12 9.437039807380643e-06 75 40
7.910270355404592e-11 1.1513006260149838e-12 5.923161267018529e-11 2.16484447555787e-12 9.437709195481148e-06 75 45
7.742845253844166e-11 1.0614603813963175e-12 2.7220267706518086e-11 6.325516282643107e-13 8.862793038133532e-06 80 15
7.837555604517377e-11 1.0735493440397481e-12 3.29675835242238e-11 8.948469677923232e-13 8.868253644322976e-06 80 20
7.933215195876642e-11 1.2554295710648367e-12 3.784772495407651e-11 1.2764872709195019e-12 8.871442332747392e-06 80 25
7.994199052729911e-11 1.175930880448206e-12 4.315262036591605e-11 1.255971455310645e-12 8.873330443748273e-06 80 30
8.089234143637825e-11 1.418639945099942e-12 4.845683923559996e-11 1.7000993711782653e-12 8.8747292465996e-06 80 35
8.172394011518591e-11 1.412967399333498e-12 5.403542197024436e-11 1.922509243815207e-12 8.875625098880846e-06 80 40
8.261442224766213e-11 1.587796083848958e-12 5.962850352370097e-11 2.007425475847313e-12 8.876229912857525e-06 80 45
