delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.341e-11 1.857e-11 2.461e-11 6.13e-12 10.5 0.1
9.602e-11 2.104e-11 3.35e-11 8.353e-12 10.5 1.809
1.312e-10 2.835e-11 6.587e-11 1.731e-11 10.5 7.808
1.94e-10 4.252e-11 1.327e-10 3.353e-11 10.5 19.26
2.918e-10 6.556e-11 2.317e-10 5.979e-11 10.5 37.11
4.275e-10 9.69e-11 3.706e-10 9.729e-11 10.5 62.15
6.034e-10 1.407e-10 5.555e-10 1.474e-10 10.5 95.1
1.181e-10 1.944e-11 2.449e-11 6.133e-12 109.3 0.1
1.308e-10 2.196e-11 3.34e-11 8.308e-12 109.3 1.809
1.663e-10 2.914e-11 6.602e-11 1.736e-11 109.3 7.808
2.295e-10 4.326e-11 1.327e-10 3.409e-11 109.3 19.26
3.274e-10 6.586e-11 2.315e-10 5.983e-11 109.3 37.11
4.534e-10 9.679e-11 3.713e-10 9.74e-11 109.3 62.15
6.303e-10 1.404e-10 5.548e-10 1.467e-10 109.3 95.1
2.209e-10 2.437e-11 2.763e-11 4.481e-12 408.8 0.1
2.339e-10 2.66e-11 3.591e-11 6.939e-12 408.8 1.809
2.695e-10 3.363e-11 6.64e-11 1.666e-11 408.8 7.808
3.321e-10 4.758e-11 1.312e-10 3.472e-11 408.8 19.26
4.295e-10 7.039e-11 2.331e-10 5.968e-11 408.8 37.11
5.627e-10 1.016e-10 3.727e-10 9.634e-11 408.8 62.15
7.401e-10 1.442e-10 5.562e-10 1.459e-10 408.8 95.1
3.573e-10 4.543e-11 4.38e-11 3.198e-12 878.5 0.1
3.744e-10 4.635e-11 5.128e-11 4.691e-12 878.5 1.809
4.142e-10 5.033e-11 7.511e-11 1.269e-11 878.5 7.808
4.763e-10 6.185e-11 1.321e-10 3.296e-11 878.5 19.26
5.713e-10 8.301e-11 2.317e-10 6.151e-11 878.5 37.11
7.062e-10 1.115e-10 3.744e-10 9.824e-11 878.5 62.15
8.839e-10 1.547e-10 5.597e-10 1.453e-10 878.5 95.1
4.868e-10 7.458e-11 6.242e-11 4.06e-12 1448.0 0.1
5.092e-10 7.527e-11 6.915e-11 6.108e-12 1448.0 1.809
5.571e-10 7.817e-11 9.301e-11 1.173e-11 1448.0 7.808
6.227e-10 8.619e-11 1.426e-10 2.852e-11 1448.0 19.26
7.153e-10 1.045e-10 2.336e-10 5.936e-11 1448.0 37.11
8.55e-10 1.351e-10 3.744e-10 9.97e-11 1448.0 62.15
1.031e-09 1.762e-10 5.613e-10 1.48e-10 1448.0 95.1
5.924e-10 1.035e-10 8.177e-11 6.254e-12 2020.0 0.1
6.198e-10 1.043e-10 8.897e-11 7.908e-12 2020.0 1.809
6.765e-10 1.069e-10 1.133e-10 1.154e-11 2020.0 7.808
7.479e-10 1.134e-10 1.585e-10 2.513e-11 2020.0 19.26
8.426e-10 1.286e-10 2.41e-10 5.593e-11 2020.0 37.11
9.82e-10 1.541e-10 3.756e-10 9.773e-11 2020.0 62.15
1.156e-09 1.932e-10 5.608e-10 1.495e-10 2020.0 95.1
6.646e-10 1.258e-10 9.863e-11 6.216e-12 2472.0 0.1
6.96e-10 1.266e-10 1.065e-10 7.227e-12 2472.0 1.809
7.59e-10 1.292e-10 1.285e-10 1.037e-11 2472.0 7.808
8.362e-10 1.359e-10 1.711e-10 2.364e-11 2472.0 19.26
9.341e-10 1.495e-10 2.492e-10 5.362e-11 2472.0 37.11
1.064e-09 1.724e-10 3.795e-10 9.537e-11 2472.0 62.15
1.236e-09 2.095e-10 5.604e-10 1.481e-10 2472.0 95.1
