delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
3.003427367920253e-11 1.520759321423093e-12 2.772314842969248e-11 7.881261290289265e-13 1.3705789569939952e-05 50 15
3.727467640102233e-11 1.6704647647775017e-12 3.375098117652797e-11 1.1333827756518366e-12 1.3712869986193255e-05 50 20
4.471713277443001e-11 2.2314832273662155e-12 3.966568740132459e-11 1.5458416881622417e-12 1.3717150068259798e-05 50 25
5.1876634932224164e-11 2.659379444089338e-12 4.57592158609188e-11 1.8365966299865866e-12 1.3720010429096874e-05 50 30
5.870035013622044e-11 2.6114065337229375e-12 5.1860741395737264e-11 1.9275817920993976e-12 1.3721680261369329e-05 50 35
6.591078377526927e-11 3.3416258041901736e-12 5.8161305632742355e-11 2.6730494987609044e-12 1.3722789844905492e-05 50 40
7.355337172665344e-11 3.3398245107008062e-12 6.460345453040972e-11 2.7386044820776334e-12 1.3723540178034455e-05 50 45
2.914522095887051e-11 1.1386559013379371e-12 2.793295629521797e-11 6.692908488710458e-13 1.257683015865041e-05 55 15
3.679179877424943e-11 1.6899367105346896e-12 3.366088657807964e-11 1.2294727952735784e-12 1.2584019714267924e-05 55 20
4.3518983555701496e-11 2.375683634189829e-12 3.9220370007253536e-11 1.8023561159166701e-12 1.2588559911819175e-05 55 25
5.071198669326371e-11 2.067234187649869e-12 4.568940711879854e-11 1.567069607757987e-12 1.2591120139404666e-05 55 30
5.7967821515125806e-11 3.0406655925768744e-12 5.204075365083938e-11 2.538923932204895e-12 1.2592890016094316e-05 55 35
6.561824694717444e-11 3.063159535049431e-12 5.87283555120166e-11 2.6240190575954614e-12 1.2594069630722515e-05 55 40
7.198316248624437e-11 2.987170406865136e-12 6.43824923929337e-11 2.4575686537881003e-12 1.2594829968293197e-05 55 45
2.8499511778301567e-11 1.952042043631974e-12 2.851091064626221e-11 1.1703375898605706e-12 1.159939984063385e-05 60 15
3.5701348127803456e-11 1.8122531470279868e-12 3.47625886409908e-11 1.0647850873582443e-12 1.1605879990383983e-05 60 20
4.312117329874354e-11 2.1957034714720214e-12 4.1059555061506714e-11 1.6329293603054018e-12 1.16094797704136e-05 60 25
5.0158051323467845e-11 3.0159403620333425e-12 4.692087690605362e-11 2.181623371538821e-12 1.161203999799909e-05 60 30
5.721888587939539e-11 2.789988509319108e-12 5.3051292525641e-11 1.9272428705002786e-12 1.161360978585435e-05 60 35
6.487105991270781e-11 3.149104674943226e-12 5.939267827548278e-11 2.3073183988420176e-12 1.161462023446802e-05 60 40
7.17560733054512e-11 3.6378014316162943e-12 6.53700774067012e-11 2.8120914884882664e-12 1.1615329640335403e-05 60 45
2.7697342683263848e-11 1.6156134589884186e-12 2.896415919606543e-11 9.43961705676677e-13 1.0771160305012017e-05 65 15
3.4324713210631685e-11 2.1901671014984414e-12 3.384973204512143e-11 1.38775969882321e-12 1.0777470379252918e-05 65 20
4.148651561175498e-11 2.062811076466997e-12 3.985308610898741e-11 1.3659406722030254e-12 1.0780860066006426e-05 65 25
4.916331924897932e-11 2.366331739930838e-12 4.621491730971705e-11 1.95646775690006e-12 1.0783250218082685e-05 65 30
5.5820955496832525e-11 2.661085761468396e-12 5.2048400311921483e-11 2.1685734805099166e-12 1.0784799997054506e-05 65 35
6.32725538629586e-11 3.1905699870299342e-12 5.868592417579421e-11 2.5612825662463257e-12 1.0785770427901298e-05 65 40
7.046632027885025e-11 3.509172119553483e-12 6.508427824458707e-11 2.9184584436625638e-12 1.0786459824885242e-05 65 45
2.6453688198313507e-11 2.148204357454997e-12 2.8748342248419156e-11 1.4096037705135789e-12 1.0054770427814219e-05 70 15
3.3052699466296076e-11 2.0776227960261906e-12 3.448684393614343e-11 1.1922714334908213e-12 1.0060300155600999e-05 70 20
4.050638990893418e-11 2.2400961294244404e-12 4.09546632718083e-11 1.5349345058868202e-12 1.0064140042231884e-05 70 25
4.7617697979118745e-11 2.7124804138911607e-12 4.7015148718632105e-11 2.0923933159028296e-12 1.006640013656579e-05 70 30
5.5180561508993975e-11 2.9814824654278427e-12 5.342788364504081e-11 2.05925467650081e-12 1.0067829862236977e-05 70 35
6.225715082353034e-11 3.1245056455325715e-12 5.971531602533275e-11 2.369598441076537e-12 1.0068870324175805e-05 70 40
6.996526968894301e-11 3.6095202347874444e-12 6.606255126273552e-11 2.784218819038009e-12 1.0069559721159749e-05 70 45
2.4986774802004952e-11 1.9983266343753803e-12 2.9042258181677383e-11 1.0934497664955023e-12 9.423827577847987e-06 75 15
3.211640675626626e-11 1.7024848327981679e-12 3.495532682751268e-11 9.646842786398269e-13 9.428980774828233e-06 75 20
3.968385689501197e-11 2.054416532726311e-12 4.088954522196708e-11 1.3694172748893174e-12 9.432495971850585e-06 75 25
4.65569527374754e-11 2.5457036652298815e-12 4.6404036863068043e-11 1.806948471058667e-12 9.43471968639642e-06 75 30
5.406671985119793e-11 2.9118092485791447e-12 5.2835451291866065e-11 2.1811313605929472e-12 9.436060281586833e-06 75 35
6.080745629244433e-11 3.252143563128862e-12 5.872027170061855e-11 2.544213320923583e-12 9.437039807380643e-06 75 40
6.837766464151684e-11 3.584377369567071e-12 6.54222925833281e-11 2.9420485145315034e-12 9.437709195481148e-06 75 45
2.34979813384939e-11 1.6120134740948977e-12 2.8519348341249362e-11 8.58126503883172e-13 8.862793038133532e-06 80 15
3.1111644510639636e-11 1.9558796856417038e-12 3.48797067617479e-11 1.273949478894365e-12 8.868253644322976e-06 80 20
3.8700650323297836e-11 2.5082060994136013e-12 4.1197739664156074e-11 1.8636184175718773e-12 8.871442332747392e-06 80 25
4.507917997220723e-11 2.9485420181829536e-12 4.6913105344881245e-11 1.9144644636953645e-12 8.873330443748273e-06 80 30
5.245086656668896e-11 2.8820552715191905e-12 5.333747332691985e-11 2.120275526332205e-12 8.8747292465996e-06 80 35
5.977730810347026e-11 2.9277760771329042e-12 5.959553683876351e-11 2.4166827393423684e-12 8.875625098880846e-06 80 40
6.70904026778274e-11 3.7928258624087e-12 6.60442048272536e-11 2.8748054284322144e-12 8.876229912857525e-06 80 45
